"Date","Predicted_Infected","Predicted_recovered","Actual_Infected"
2020-04-01,144,6,152
2020-04-02,144.144069561301,6.14407203535537,152
2020-04-03,144.288283256227,6.28828821176411,219
2020-04-04,144.432641229542,6.43264867400696,386
2020-04-05,144.577143607526,6.57715354838101,445
2020-04-06,144.721790558691,6.72180300341606,503
2020-04-07,144.866582221654,6.86659717774693,523
2020-04-08,145.01151874118,7.01153621615696,576
2020-04-09,145.156600262182,7.15662026357519,669
2020-04-10,145.301826929716,7.30184946507559,720
2020-04-11,145.447198888982,7.4472239658773,903
2020-04-12,145.592716285329,7.5927439113447,1069
2020-04-13,145.738379264239,7.73840944697851,1154
2020-04-14,145.88418797136,7.88422071844521,1561
2020-04-15,146.030142552476,8.03017787154489,NA
2020-04-16,146.176243153513,8.17628105222348,NA
2020-04-17,146.322489920548,8.32253040657392,NA
2020-04-18,146.468882999802,8.46892608083532,NA
2020-04-19,146.615422537641,8.61546822139305,NA
2020-04-20,146.762108680581,8.76215697477896,NA
2020-04-21,146.90894157528,8.90899248767146,NA
2020-04-22,147.055921368548,9.05597490689571,NA
2020-04-23,147.203048207336,9.20310437942373,NA
2020-04-24,147.350322238747,9.35038105237459,NA
