"Date","Predicted_Infected_non_cum","Predicted_recovered_non_cum","Actual_Infected_Non_cum","Actual_Recoverd_Non_cum"
2020-04-01,0.273730519723552,0,0,0
2020-04-02,0.273197861862831,0,67,2
2020-04-03,0.272666539048879,0,167,0
2020-04-04,0.272136383710722,0,59,7
2020-04-05,0.271607781947651,0,58,3
2020-04-06,0.271080452022947,0,20,1
2020-04-07,0.27055444652396,0,53,2
2020-04-08,0.270029762470106,0,93,0
2020-04-09,0.269506396255871,0,51,4
2020-04-10,0.26898434499001,0,183,0
2020-04-11,0.268463605523507,0,166,0
2020-04-12,0.267944174693117,0,85,2
2020-04-13,0.267426049365007,0,407,3
2020-04-14,0.266909226413571,0,NA,NA
2020-04-15,0.266393702720233,0,NA,NA
2020-04-16,0.265879475173826,0,NA,NA
2020-04-17,0.265366540670961,0,NA,NA
2020-04-18,0.264854896115679,0,NA,NA
2020-04-19,0.26434453841949,0,NA,NA
2020-04-20,0.263835464501351,0,NA,NA
2020-04-21,0.26332767128768,0,NA,NA
2020-04-22,0.262821155712292,0,NA,NA
2020-04-23,0.262315914716417,0,NA,NA
2020-04-24,NA,NA,NA,NA
