"Date","Predicted_Infected_non_cum","Predicted_recovered_non_cum","Actual_Infected_Non_cum","Actual_Recoverd_Non_cum"
2020-04-01,0,0.287856069585187,0,0
2020-04-02,0,0.287568356046825,67,2
2020-04-03,0,0.28728092893398,167,0
2020-04-04,0,0.286993753216874,59,7
2020-04-05,0,0.286706912415566,58,3
2020-04-06,0,0.286420346339388,20,1
2020-04-07,0,0.286134066686468,53,2
2020-04-08,0,0.285848073170163,93,0
2020-04-09,0,0.285562365504459,51,4
2020-04-10,0,0.285276943403657,183,0
2020-04-11,0,0.284991806582338,166,0
2020-04-12,0,0.284706954773181,85,2
2020-04-13,0,0.284422387651723,407,3
2020-04-14,0,0.284138104957199,NA,NA
2020-04-15,0,0.283854106405318,NA,NA
2020-04-16,0,0.283570391710107,NA,NA
2020-04-17,0,0.283286960587846,NA,NA
2020-04-18,0,0.283003812755126,NA,NA
2020-04-19,0,0.282720947928805,NA,NA
2020-04-20,0,0.282438365826007,NA,NA
2020-04-21,0,0.282156066164161,NA,NA
2020-04-22,0,0.281874048660976,NA,NA
2020-04-23,0,0.28159231303443,NA,NA
2020-04-24,NA,NA,NA,NA
